source,target,weight
2619462,1248114,1
2619462,452371,37
2619462,6786787,2
2619462,6680855,4
2619462,7356025,4
2619462,5335833,1
2619462,1151062,1
2619462,4176191,2
2619462,2460486,87
2619462,2269366,1
2619462,2085114,206
2619462,7289322,37
2619462,4306072,6
2619462,6277507,1
2619462,2636252,65
2619462,1410172,1
2619462,3800081,3
2619462,6336909,3
2619462,1810959,3
2619462,3997990,2
2619462,6428323,187
2619462,4895585,1
2619462,6922205,1
2619462,4126401,1
2619462,2359204,18
2619462,3015280,1
2619462,3760478,3
2619462,7095205,6
2619462,3038929,2
2619462,4928531,1
2619462,4662362,35
2619462,5739890,20
2619462,2145157,3
2619462,3387706,4
2619462,4052830,1
2619462,1195112,2
2619462,7077443,1
2619462,1023233,5
2619462,5295080,6
2619462,5517789,12
2619462,2009298,1
2619462,1827519,1
2619462,2658430,6
2619462,1962099,1
2619462,7106849,1
2619462,858395,1
2619462,2877156,2
2619462,2425259,7
2619462,6960891,1
2619462,1774099,1
2619462,1508166,1
2619462,1592090,2
2619462,6136484,4
2619462,2059825,3
2619462,2852213,2646
2619462,6149045,1
2619462,6425685,2
2619462,4546306,12
2619462,5434150,3
2619462,2199254,1
2619462,5232157,19
2619462,7028415,1
2619462,3156229,1
2619462,492397,1
2619462,3217629,1
2619462,2347707,12
2619462,4715047,1
2619462,5673122,5
2619462,5984978,3
2619462,2773129,1
2619462,4629096,1
2619462,2128503,2
2619462,756517,2
2619462,3221815,1
2619462,6836186,8
2619462,1143237,1
2619462,1620090,30
2619462,4747185,1
2619462,543810,2
2619462,4425674,1
2619462,515574,1
2619462,164742,1
2619462,4122713,20
2619462,4097633,1
2619462,7188233,17
2619462,5816714,1
2619462,2396726,7
2619462,419516,1
2619462,6351961,1
2619462,3754878,1
2619462,6050960,1
2619462,2508464,4
2619462,6669507,2
2619462,6687211,216
2619462,1773161,1
2619462,3306850,1
2619462,1610310,2
2619462,5367664,4
2619462,6294730,3
2619462,655833,2
2619462,2107874,2
2619462,900176,7
2619462,6120671,1
2619462,7186136,32
2619462,4130702,1
2619462,4647395,1
2619462,2228917,7
2619462,7144046,2
2619462,6583232,7
2619462,990680,2
2619462,4242070,2
2619462,3612021,6
2619462,2388806,1
2619462,7294328,1
2619462,4850784,1
2619462,3116860,1
2619462,1169973,3
2619462,809814,2
2619462,2844623,1
2619462,3454928,3
2619462,3796986,1
2619462,5551446,2
2619462,2573604,2
2619462,3414043,1
2619462,2611081,9
2619462,2547593,2
2619462,1197043,1
2619462,5940296,5
2619462,2463984,5
2619462,2729759,1
2619462,5130964,3
2619462,1001530,3
2619462,653265,6
2619462,4706387,5
2619462,141469,8
2619462,4682672,17
2619462,1161689,44
2619462,5000026,6
2619462,4492497,2
2619462,1252065,1
2619462,3919975,1
2619462,4652766,1
2619462,4205408,1
2619462,7399799,17
2619462,165018,3
2619462,486867,1
2619462,4419903,5
2619462,135380,1
2619462,54610,1
2619462,1992671,1
2619462,4909384,2
2619462,5026190,2
2619462,3627541,1
2619462,2362683,11
2619462,2432227,2
2619462,3786000,2
2619462,1348639,2
2619462,326130,16
2619462,6402486,63
2619462,6920583,1
2619462,6323759,6
2619462,3575919,1
2619462,4441616,3
2619462,4053387,1
2619462,5575887,2
2619462,5413055,3
2619462,4988330,6
2619462,591100,1
2619462,4381910,1
2619462,3834442,2
2619462,3867274,1
2619462,1412788,2
2619462,229313,1
2619462,2414181,1
2619462,3092181,2
2619462,4648368,1
2619462,6930175,2
2619462,2186661,5
2619462,6301181,1
2619462,1270896,1
2619462,5672370,1
2619462,2807863,1
2619462,3638144,2
2619462,5192376,1
