source,target,weight
2619462,6100188,1
2619462,4122390,1
2619462,6858284,11
2619462,6786787,1
2619462,6039531,2
2619462,1188689,1
2619462,2085114,529
2619462,7288951,3
2619462,1719889,1
2619462,38543,1
2619462,4930875,2
2619462,2181204,1
2619462,6736382,4
2619462,4179234,8
2619462,3997990,16
2619462,5736831,1
2619462,4126401,1
2619462,1050757,4
2619462,3015280,2
2619462,2997233,1
2619462,461709,4
2619462,3618635,6
2619462,7371084,1
2619462,2395344,59
2619462,3312342,75
2619462,3950613,11
2619462,6393531,3
2619462,3517035,22
2619462,6615138,2
2619462,1281919,9
2619462,1844575,1
2619462,2532174,1
2619462,1101014,1
2619462,1244672,1
2619462,6278467,2
2619462,6756828,2
2619462,5064627,1
2619462,2996666,4
2619462,6818997,1
2619462,6382411,2
2619462,5400179,8
2619462,6987327,1
2619462,1508166,2
2619462,5665416,1
2619462,541807,1
2619462,3459327,28
2619462,2059825,1
2619462,6080434,5
2619462,1548952,6
2619462,5471784,1
2619462,7011751,2
2619462,5678280,8
2619462,4388966,2
2619462,3657339,2
2619462,2161613,1
2619462,6574576,3
2619462,5870205,22
2619462,7371487,3
2619462,2020313,1
2619462,845824,13
2619462,6698122,1
2619462,5022135,3
2619462,7330438,6
2619462,4191149,1
2619462,5984978,1
2619462,4281877,4
2619462,4096842,5
2619462,2199155,1
2619462,1858711,105
2619462,6076504,1
2619462,8339,3
2619462,4620066,3
2619462,3048342,2
2619462,5353722,4
2619462,4710435,1
2619462,5996814,3
2619462,45337,5
2619462,3884436,1
2619462,1569287,2
2619462,1260226,3
2619462,3409921,8
2619462,6773999,5
2619462,3323565,7
2619462,6585396,4
2619462,6997628,1
2619462,1887304,1
2619462,5216766,7
2619462,2648166,1
2619462,6687211,1
2619462,7304563,1
2619462,4171350,3
2619462,132199,20
2619462,3128156,2
2619462,3281706,11
2619462,1043951,1
2619462,2660030,3
2619462,2301415,16
2619462,1446968,3
2619462,1906065,1
2619462,5073236,6
2619462,5888836,1
2619462,655833,2
2619462,5284532,1
2619462,343252,2
2619462,602788,1
2619462,4537682,2
2619462,1086352,128
2619462,6161329,2
2619462,1420870,2
2619462,5718416,1
2619462,5949306,3
2619462,4706182,2
2619462,4040728,1
2619462,2812286,1
2619462,7147412,1
2619462,5869843,1
2619462,6914694,1
2619462,2911523,1
2619462,2630004,4
2619462,1169973,2
2619462,3941105,2
2619462,647523,1
2619462,6550681,11
2619462,870746,4
2619462,5254938,4
2619462,5959572,1
2619462,4244399,2
2619462,2732207,5
2619462,6218104,1
2619462,3414043,77
2619462,4820406,23
2619462,5800871,1
2619462,4090136,2
2619462,7336018,1
2619462,5390790,6
2619462,233034,1
2619462,5530552,786
2619462,20893,9
2619462,6654034,1
2619462,3444989,1
2619462,5736109,1
2619462,3869200,4
2619462,6131188,2
2619462,7279345,1
2619462,4599690,1
2619462,1161689,1
2619462,3124889,1
2619462,3597037,10
2619462,7160532,6
2619462,1840300,1
2619462,4770042,3
2619462,4331354,3
2619462,199761,1
2619462,1828685,3
2619462,4999944,2
2619462,5068903,3
2619462,1109701,2
2619462,1526570,22
2619462,4491319,28
2619462,3045483,2
2619462,2917935,2
2619462,541723,2
2619462,269046,15
2619462,7325112,1
2619462,1348639,1
2619462,3719539,251
2619462,2760610,15
2619462,6511445,2
2619462,147072,8
