source,target,weight
2619462,3479286,1
2619462,2327795,1
2619462,2458547,1
2619462,3289679,3
2619462,2811292,1
2619462,6141104,2
2619462,395868,17
2619462,3991483,5
2619462,2549275,3
2619462,4645949,1
2619462,2625411,2
2619462,3356090,5
2619462,2544805,13
2619462,647033,2
2619462,4932128,1
2619462,3484993,2
2619462,7216389,2
2619462,1346119,2
2619462,589433,9
2619462,2111810,23
2619462,4128263,1
2619462,3794233,11
2619462,5085072,33
2619462,6722746,1
2619462,617000,1
2619462,6303531,150
2619462,1456940,2
2619462,3774614,1
2619462,4305997,1
2619462,3766231,2
2619462,1605245,3
2619462,5675329,1
2619462,5184835,2
2619462,4682009,3
2619462,2035839,46
2619462,5561404,1
2619462,7225774,2
2619462,1433330,11
2619462,2085114,637
2619462,3815827,3
2619462,4306072,4
2619462,2758433,1
2619462,6325651,1
2619462,3847410,2
2619462,1861239,1
2619462,5168976,3
2619462,94832,1
2619462,2887751,8
2619462,3997990,171
2619462,2797377,3
2619462,4184142,1
2619462,697894,1
2619462,1525502,2
2619462,1347262,1
2619462,5396486,3
2619462,3102673,2
2619462,1050757,33
2619462,1188190,1
2619462,5495506,1
2619462,4884703,18
2619462,5999162,3
2619462,5379414,1
2619462,2311830,4
2619462,6981102,2
2619462,7147804,1
2619462,5512045,2
2619462,5290282,1
2619462,2254687,1
2619462,3125523,1
2619462,5048328,1
2619462,6149090,20
2619462,6596800,1
2619462,2638083,7
2619462,6844828,1
2619462,7184038,2
2619462,6300582,2
2619462,2505071,1
2619462,2059825,3
2619462,4403812,9
2619462,3897265,1
2619462,3460270,1
2619462,4247601,2
2619462,3695047,4
2619462,2498629,1
2619462,1033036,2
2619462,773977,1
2619462,4127306,5
2619462,1700082,147
2619462,4141723,1
2619462,2233392,4
2619462,5811650,1
2619462,4226311,2
2619462,4481601,90
2619462,6205224,80
2619462,5644084,2
2619462,1858711,1
2619462,6753185,1
2619462,2959627,2
2619462,3578333,3
2619462,741911,1
2619462,5673344,3
2619462,4795375,1
2619462,4668180,18
2619462,4775194,6
2619462,3907209,1
2619462,1914932,2
2619462,2497410,1
2619462,2648166,1
2619462,2407748,1
2619462,4283974,2
2619462,7092159,2
2619462,6525897,1
2619462,1446968,3
2619462,6823678,170
2619462,5368714,1
2619462,6757131,3
2619462,5284532,218
2619462,3539777,1
2619462,1798967,4
2619462,5375694,13
2619462,5210785,6
2619462,4059560,1
2619462,3499420,1
2619462,6443039,3
2619462,842034,1
2619462,1952022,3
2619462,1169973,93
2619462,6339855,1
2619462,6146761,9
2619462,870746,1
2619462,4081406,1
2619462,1177390,36
2619462,2844623,30
2619462,3454928,28
2619462,6218104,1
2619462,2480430,1
2619462,5389965,4
2619462,4933438,1
2619462,51821,3
2619462,4346777,1
2619462,5544544,23
2619462,7379957,1
2619462,3035295,2
2619462,6322320,1
2619462,1716215,1
2619462,6422487,15
2619462,3763516,2
2619462,2939971,1
2619462,2358761,2
2619462,2513167,2
2619462,4331354,1
2619462,4796142,1
2619462,6758097,1
2619462,3186668,2
2619462,4759971,3
2619462,1735003,2
2619462,3405244,1
2619462,6409096,10
2619462,4745877,1
2619462,2245288,21
2619462,4938006,1
2619462,5690635,1
2619462,5201927,5
2619462,5154031,1
2619462,5045554,15
2619462,1364145,16
2619462,7285954,14
2619462,5546337,1
2619462,4731732,1
2619462,5983250,1
2619462,6323759,18
2619462,5415264,1
2619462,3456285,1
2619462,5413055,4
2619462,5421405,3
2619462,5643535,47
2619462,7035791,2
2619462,1122990,2
2619462,2290804,1
2619462,3797717,1
2619462,1144279,1
2619462,3441155,2
2619462,1721826,1
2619462,1219467,74
2619462,561922,4
2619462,2514145,1
2619462,1398934,2
2619462,3327440,4
2619462,2451447,2
2619462,3177624,2
2619462,2585319,4
2619462,4376733,1
2619462,1098960,10
2619462,3241918,3
2619462,5295584,5
2619462,4394973,1
2619462,3968361,3
2619462,2523020,11
2619462,2186661,15
2619462,4658251,5
2619462,6201806,1
2619462,4099669,15
2619462,6574019,2
2619462,5125771,2
2619462,5679521,7
2619462,3392844,1
2619462,3892195,1
2619462,2046590,1
2619462,2505051,2
2619462,34983,3
2619462,941200,4
2619462,1504999,2
2619462,4368330,2
2619462,4043536,3
2619462,7114370,4
2619462,5688094,1
2619462,2423109,6
2619462,4463781,1
2619462,4066332,26
2619462,4279443,1
2619462,5433986,1
2619462,1089245,1
2619462,6869345,2
2619462,5070657,1
2619462,4374243,1
2619462,1650487,1
2619462,2515911,3
2619462,3635852,8
2619462,3982090,1
2619462,1974199,1
2619462,3895618,1
2619462,6130006,8
2619462,1052641,2
2619462,3155895,2
2619462,5282130,13
2619462,2298227,1
2619462,1209005,1
2619462,6088512,2
2619462,3082013,1
2619462,4061902,16
2619462,6219668,14
2619462,1661976,1
2619462,1716969,9
2619462,3590523,9
2619462,5014468,5
2619462,4936003,2
2619462,281503,1
2619462,3850722,3
2619462,6000605,9
2619462,3287313,1
2619462,678783,1
2619462,10901,1
2619462,5095633,1
2619462,5051041,1
2619462,6948102,6
2619462,6392389,1
2619462,2453797,5
2619462,5628134,1
2619462,3194784,13
7214078,7211089,1
1674161,7257797,1
1413682,5449615,1
4124947,4907296,2
6081940,3099616,1
3881664,1047649,1
303943,335830,1
303943,6202616,1
303943,3169639,1
303943,1018788,1
5197507,2053857,1
5365386,2380669,1
2843604,1521658,1
2813370,1718435,1
4218817,5625821,1
7258241,3037546,1
3398510,4955837,1
1484945,4056245,1
3890364,1521658,1
2828980,6937682,1
5154935,898175,1
4342523,886289,1
2408331,1961246,1
1537980,1521658,1
53749,6094028,1
53749,7307558,1
53749,2920187,1
53749,845824,1
2117555,1834693,1
2117555,5088535,1
3334807,4721678,1
6175551,4323687,1
6175551,2270589,1
6175551,2221055,1
6175551,1319505,1
6175551,2900011,1
6175551,5141311,1
6175551,1457542,1
7194251,4059245,1
7194251,1346119,1
6941278,729126,1
1168064,347940,1
1168064,8567,1
824720,6592271,1
824720,5584575,1
286124,585356,1
286124,1741110,1
286124,6094028,1
286124,1505790,1
286124,2164646,1
5624899,4059245,1
6939014,2838628,1
6939014,1544259,1
1061725,6088768,1
1061725,4551228,1
1620680,6448658,1
5822015,7170514,1
5822015,2758433,1
5822015,4907296,1
4705732,4907296,1
5617947,4197988,1
5617947,177782,1
6803570,3546118,1
6803570,2494375,1
6803570,7143989,1
6803570,149815,1
6803570,4065632,1
6803570,3605686,1
6803570,4195674,1
6803570,3100377,2
6803570,5148068,1
6803570,4481056,1
