source,target,weight
2619462,5725042,3
2619462,3209391,2
2619462,5723157,3
2619462,5428445,3
2619462,3948079,1
2619462,6113556,2
2619462,4075898,1
2619462,456295,4
2619462,1046738,24
2619462,4635801,3
2619462,5308538,4
2619462,1491103,1
2619462,3101441,3
2619462,155887,4
2619462,1932635,2
2619462,191133,2
2619462,6293310,6
2619462,6784965,1
2619462,7373676,1
2619462,1636947,1
2619462,5507191,5
2619462,7177578,2
2619462,7112788,6
2619462,6480881,1
2619462,5117929,3
2619462,2872806,7
2619462,857612,107
2619462,6026025,3
2619462,4597543,1
2619462,6748815,1
2619462,1920866,1
2619462,3775575,5
2619462,1319533,1
2619462,2812140,16
2619462,5080686,1
2619462,3066140,4
2619462,589702,1
2619462,6863443,4
2619462,4228656,25
2619462,5067394,66
2619462,6186877,1
2619462,6060176,2
2619462,5800373,3
2619462,3450408,5
2619462,4142051,1
2619462,5490245,9
2619462,5981736,1
2619462,1137963,4
2619462,6780728,7
2619462,1527235,1
2619462,5924292,1
2619462,3823123,1
2619462,2990301,1
2619462,4151597,195
2619462,5540618,103
2619462,3450216,9
2619462,5056760,11
2619462,7330309,1
2619462,346200,3
2619462,708801,20
2619462,357810,7
2619462,3402207,2
2619462,6450313,1
2619462,7268455,2
2619462,3998307,2
2619462,3505788,20
2619462,774393,1
2619462,4632504,8
2619462,4835239,4
2619462,5807072,1
2619462,2204426,2
2619462,6479933,2
2619462,3861916,1
2619462,109431,1
2619462,1171215,10
2619462,2649870,1
2619462,5214139,2
2619462,7219363,5
2619462,6421275,1
2619462,5719940,2
2619462,504874,1
2619462,1896260,1
2619462,2451340,2
2619462,148467,2
2619462,4133922,2
2619462,3773093,1
2619462,7028373,4
2619462,1021803,10
2619462,623626,43
2619462,1631407,1
2619462,2310854,3
2619462,5183957,2
2619462,3183747,1
2619462,5141408,5
2619462,5193969,3
2619462,217537,14
2619462,2874347,1
2619462,176040,2
2619462,4180022,1
2619462,2511883,1
2619462,2544805,7
2619462,5654082,1
2619462,6208532,2
2619462,2549265,7
2619462,6682949,12
2619462,4629051,1
2619462,1346119,137
2619462,804288,2
2619462,3069065,1
2619462,2547001,129
2619462,5782444,1
2619462,6248573,1
2619462,2876177,4
2619462,2097134,3
2619462,4472226,1
2619462,6273510,1
2619462,6680855,3
2619462,2266122,33
2619462,272196,6
2619462,4135288,1
2619462,5561404,12
2619462,5092098,2
2619462,2460486,4
2619462,2790640,5
2619462,4400862,1
2619462,2085114,182
2619462,5097507,2
2619462,7289322,1
2619462,7270723,2
2619462,583028,3
2619462,6794933,1
2619462,2453956,4
2619462,5266842,1
2619462,3358164,1
2619462,999448,21
2619462,603746,4
2619462,6623859,5
2619462,6428323,33
2619462,1919058,1
2619462,6455389,30
2619462,4740984,7
2619462,7073062,1
2619462,4577646,2
2619462,2917636,1
2619462,950105,10
2619462,957112,11
2619462,2512921,7
2619462,6905181,18
2619462,945566,2
2619462,1050757,3
2619462,1350906,1
2619462,388297,1
2619462,1705067,1
2619462,6761482,1
2619462,5381909,1
2619462,6927861,17
2619462,2408504,3
2619462,2016550,6
2619462,4449182,5
2619462,2046015,1
2619462,716446,2
2619462,1023233,5
2619462,6856998,1
2619462,5802219,1
2619462,522443,14
2619462,3695360,1
2619462,5763397,2
2619462,3228055,1
2619462,2559460,2
2619462,1531576,22
2619462,1627747,2
2619462,2992833,1
2619462,4498492,1
2619462,2991014,1
2619462,3738056,2
2619462,3176890,3
2619462,5627465,1
2619462,4977222,11
2619462,7184038,52
2619462,5389487,1
2619462,5593633,1
2619462,735115,1
2619462,2059825,4
2619462,2852213,5053
2619462,6710231,1
2619462,2737850,2
2619462,6820760,7
2619462,5603134,1
2619462,1000642,3
2619462,2443306,2
2619462,4613676,133
2619462,3321990,77
2619462,2291642,86
2619462,2765001,1
2619462,4991498,641
2619462,4961801,6
2619462,4699258,69
2619462,2397017,2
2619462,2266965,1
2619462,2895441,2
2619462,1805274,1
2619462,5004936,12
2619462,6205224,76
2619462,2434200,1
2619462,2912102,2
2619462,1036669,3
2619462,741911,2
2619462,4400375,1
2619462,6433099,18
2619462,5673344,1
2619462,6245282,1
2619462,4425674,1
2619462,1612124,1
2619462,2642141,7
2619462,2574947,1
2619462,5333543,3
2619462,346054,1
2619462,1729098,3
2619462,484450,1
2619462,6099000,6
2619462,2648166,1
2619462,844953,1
2619462,2587245,1
2619462,5618101,2
2619462,3054484,3
2619462,4335386,1
2619462,6362347,1
2619462,98054,1
2619462,6137923,1
2619462,2634434,1
2619462,6051617,2
2619462,5671463,1
2619462,2996539,2
2619462,1538565,7
2619462,1673480,4
2619462,602788,1
2619462,6075785,1
2619462,1559612,1
2619462,3644501,61
2619462,7348883,1
2619462,3499420,2
2619462,7132957,7
2619462,6092434,71
2619462,298564,1
2619462,4484202,12
2619462,468674,1
2619462,5575880,1
2619462,2603873,7
2619462,7341786,5
2619462,5492285,3
2619462,2512471,2
2619462,3882612,5
2619462,3283552,2
2619462,2573786,3
2619462,2788809,4
2619462,5488955,25
2619462,2711030,36
2619462,3503209,2
2619462,6433686,3
2619462,4059979,1
2619462,7252636,2
2619462,3182648,4
2619462,3763516,1
2619462,3341627,3
2619462,6589196,1
2619462,681523,1
2619462,4386322,1
2619462,2454981,1
2619462,5234820,2
2619462,1399978,13
2619462,4566978,1
2619462,4490570,1
2619462,551650,2
2619462,5855156,2
2619462,6539203,21
2619462,5351840,3
2619462,2362683,1
2619462,1186521,4
2619462,3086172,1
2619462,102250,2
2619462,3590830,1
2619462,3612632,3
2619462,2030856,1
2619462,2906365,1
2619462,274501,1
2619462,3405107,1
2619462,4421880,1
2619462,5413055,11
2619462,802701,14
