source,target,weight
2619462,5997949,7
2619462,2924832,2
2619462,132197,1
2619462,5597300,1
2619462,2508878,6
2619462,4215512,2
2619462,851942,1
2619462,2645838,1
2619462,7298991,1
2619462,4358231,54
2619462,841928,2
2619462,1586527,1
2619462,5042224,5
2619462,5773239,2
2619462,4700208,8
2619462,2532245,1
2619462,3500184,7
2619462,6319056,7
2619462,5569781,1
2619462,925201,1
2619462,4974734,1
2619462,7153911,1
2619462,4067757,1
2619462,2325681,1
2619462,4011189,2
2619462,1076571,6
2619462,3107683,2
2619462,328283,15
2619462,2269151,18
2619462,510054,9
2619462,3765847,1
2619462,129851,2
2619462,1316749,1
2619462,4983658,5
2619462,1525623,2
2619462,7120006,5
2619462,1080176,4
2619462,3170964,3
2619462,3708554,1
2619462,4573259,1
2619462,5765605,2
2619462,2914509,2
2619462,2320979,2
2619462,7112788,9
2619462,6098646,5
2619462,1054563,5
2619462,833569,3
2619462,857612,1
2619462,6026025,87
2619462,4597543,1
2619462,6748815,25
2619462,3775575,1
2619462,1319533,2
2619462,2146995,24
2619462,3829754,2
2619462,6913883,1
2619462,904048,2
2619462,4601880,1
2619462,4236980,1
2619462,7155927,1
2619462,6863443,39
2619462,6186877,9
2619462,471660,1
2619462,5339091,2
2619462,1599817,3
2619462,1620515,1
2619462,373619,28
2619462,1630804,12
2619462,4396245,4
2619462,302023,1
2619462,3824467,1
2619462,6979803,16
2619462,6644505,4
2619462,4810456,3
2619462,7071474,2
2619462,5994471,4
2619462,857266,1
2619462,3187765,1
2619462,1759012,2
2619462,1236382,7
2619462,6377859,1
2619462,5210416,1
2619462,226348,1
2619462,1266915,1
2619462,6842084,2
2619462,4289,1
2619462,358928,3
2619462,5292562,25
2619462,5606046,1
2619462,3483751,1
2619462,623626,159
2619462,2415483,1
2619462,1670636,1
2619462,6066777,2
2619462,4645949,55
2619462,1631382,1
2619462,2511883,3
2619462,1371871,1
2619462,3337777,1
2619462,2908390,3
2619462,4497607,4
2619462,5755995,22
2619462,3090233,1
2619462,4490865,2
2619462,279282,2
2619462,3604884,1
2619462,4173712,1
2619462,4363665,12
2619462,7252439,3
2619462,2085114,228
2619462,6765170,1
2619462,3815827,1
2619462,6863886,1
2619462,6847009,2
2619462,6428323,81
2619462,545342,2
2619462,3324297,1
2619462,2915377,4
2619462,7358519,2
2619462,5613052,1
2619462,2498439,1
2619462,10155,1
2619462,4740569,2
2619462,1050757,10
2619462,3180553,5
2619462,1469395,1
2619462,3591035,1
2619462,4650700,1
2619462,1579315,1
2619462,1987726,4
2619462,652245,1
2619462,7231491,1
2619462,4435097,4
2619462,6700000,2
2619462,1023233,1
2619462,5703454,2
2619462,2559460,5
2619462,1531576,19
2619462,4281891,3
2619462,2766345,1
2619462,1522286,1
2619462,5426227,2
2619462,6424933,1
2619462,1251723,3
2619462,1060504,8
2619462,5270932,1
2619462,3459327,1
2619462,1548952,5
2619462,5746879,6
2619462,3473282,2
2619462,2891033,2
2619462,1754949,1
2619462,7387900,5
2619462,4127306,15
2619462,759778,4
2619462,5952727,1
2619462,3416686,1
2619462,7371487,1
2619462,6272518,225
2619462,1521198,1
2619462,845824,45
2619462,4340011,1
2619462,4699258,18
2619462,2728908,3
2619462,5022135,7
2619462,1506806,1
2619462,956301,3
2619462,231434,36
2619462,5709026,2
2619462,2982796,10
2619462,3109861,1
2619462,6836186,9
2619462,5845270,6
2619462,1377197,3
2619462,354807,3
2619462,3551143,7
2619462,289613,198
2619462,1260226,1
2619462,2968239,10
2619462,4644562,1
2619462,3201918,4
2619462,6716677,1
2619462,709891,1
2619462,1156267,2
2619462,7347079,1
2619462,3457460,4
2619462,6188733,4
2619462,5044538,2
2619462,6372727,1
2619462,3100631,4
2619462,3306850,5
2619462,3281706,1
2619462,5349010,1
2619462,3324864,1
2619462,2219731,1
2619462,5912875,1
2619462,7348883,1
2619462,1583477,1
2619462,2812286,1
2619462,7294328,1
2619462,2699575,3
2619462,170084,6
2619462,3541641,2
2619462,1169973,128
2619462,233823,2
2619462,805479,6
2619462,2921173,2
2619462,1627727,1
2619462,3605576,1
2619462,6424940,2
2619462,3856985,4
2619462,4838620,1
2619462,2054746,1
2619462,5530552,1
2619462,5238335,1
2619462,5130964,1
2619462,1886754,57
2619462,1613401,1
2619462,3648606,4
2619462,4009915,3
2619462,3182648,1
2619462,3176856,5
2619462,1161689,1
2619462,6845325,2
2619462,6451756,1
2619462,4997893,4
2619462,486867,4
2619462,4069351,36
2619462,4430269,107
2619462,7149906,3
2619462,7291060,2
2619462,1526570,2
2619462,6198870,15
2619462,1256281,3
2619462,326130,3
2619462,6365264,1
2619462,2145504,2
2619462,976211,2
2619462,1859455,1
2619462,2734753,1
2619462,3061560,23
2619462,1100344,1
2619462,7049471,8
2619462,3190169,1
2619462,4009520,1
2619462,621934,1
2619462,5526883,2
2619462,6405941,29
2619462,6418892,1
2619462,1632306,27
2619462,3867274,22
2619462,3156171,1
2619462,4956428,182
2619462,5461166,2
2619462,2323562,1
2619462,1572318,1
2619462,3240584,2
2619462,1611963,1
2619462,599200,9
2619462,3102250,1
2619462,5192061,1
2619462,6808106,2
2619462,3823198,6
2619462,854065,6
2619462,4071517,2
2619462,6349395,10
2619462,567788,11
2619462,1404354,1
2619462,6862063,3
2619462,5217161,1
2619462,2614002,2
2619462,7206593,2
2619462,4491247,1
2619462,4866919,1
2619462,6186575,1
2619462,5524956,1
2619462,2432647,5
2619462,7183294,2
2619462,2661256,11
2619462,5667913,24
2619462,1988260,1
2619462,6233968,2
2619462,651050,1
2619462,1751001,1
2619462,6480417,5
2619462,6322950,1
2619462,3345301,2
2619462,4528066,1
2619462,2081191,5
2619462,2512898,3
2619462,4422507,3
2619462,5101424,15
2619462,1398827,1
2619462,692002,1
2619462,2966871,2
2619462,545901,1
2619462,854078,1
2619462,2241411,2
2619462,1657454,1
2619462,259182,1
2619462,1754875,1
2619462,2515911,1
2619462,2399163,2
2619462,1242516,4
2619462,4740600,1
2619462,6401246,5
2619462,4224062,1
2619462,2488737,2
2619462,6050747,1
2619462,537882,6
2619462,6130006,12
2619462,4359037,1
2619462,1533277,2
2619462,2467747,3
2619462,335495,1
2619462,5282130,34
2619462,1094897,552
2619462,587815,1
2619462,6181870,1
2619462,3639445,1
2619462,4061902,52
2619462,4099844,4
2619462,1009084,2
2619462,392217,2
2619462,136448,1
2619462,3988726,6
2619462,352504,1
2619462,1235639,2
2619462,4018166,3
2619462,28314,60
2619462,6082271,9
2619462,5693878,1
2619462,5254334,23
2619462,755948,2
2619462,470125,11
2619462,281503,1
2619462,7047789,3
2619462,2380338,2
2619462,1581574,2
2619462,289232,4
2619462,2005490,4
2619462,2896879,2
2619462,925710,1
7214078,3921325,1
1413682,6158945,1
6003625,2533704,1
5213929,6715125,1
1120028,3682034,1
2337875,2678557,1
6687603,6680209,1
5832347,2338903,1
5322252,2557988,1
3857298,5841601,1
3857298,2564224,1
3881664,4444913,1
918287,7365415,1
303943,4075178,1
5197507,5420919,1
5366466,4453433,1
6539420,6305784,1
4623135,6818835,1
4288663,2323931,1
5994482,3187890,1
1703840,6897137,1
465401,3466622,1
2117555,536840,1
1307076,322815,1
2568195,5231169,2
