Parent_Location,Region,Topic,Popularity
worldwide,Uzbekistan,climate_change,0.0
worldwide,Chile,climate_change,19.0
worldwide,Afghanistan,climate_change,0.0
worldwide,Vietnam,climate_change,19.0
worldwide,Norway,climate_change,18.0
worldwide,Malaysia,climate_change,18.0
worldwide,Congo - Kinshasa,climate_change,0.0
worldwide,South Korea,climate_change,17.0
worldwide,Faroe Islands,climate_change,0.0
worldwide,Egypt,climate_change,17.0
worldwide,Caribbean Netherlands,climate_change,0.0
worldwide,Jordan,climate_change,0.0
worldwide,Angola,climate_change,0.0
worldwide,Cyprus,climate_change,0.0
worldwide,Laos,climate_change,0.0
worldwide,Kuwait,climate_change,0.0
worldwide,Paraguay,climate_change,0.0
worldwide,Uruguay,climate_change,0.0
worldwide,Andorra,climate_change,0.0
worldwide,Aruba,climate_change,0.0
worldwide,Finland,climate_change,15.0
worldwide,Portugal,climate_change,14.0
worldwide,Morocco,climate_change,14.0
worldwide,Spain,climate_change,14.0
worldwide,Switzerland,climate_change,13.0
worldwide,Tunisia,climate_change,0.0
worldwide,Sweden,climate_change,13.0
worldwide,Denmark,climate_change,13.0
worldwide,Guinea,climate_change,0.0
worldwide,Curaçao,climate_change,0.0
worldwide,Taiwan,climate_change,12.0
worldwide,St Martin,climate_change,0.0
worldwide,Macao,climate_change,0.0
worldwide,Thailand,climate_change,12.0
worldwide,Georgia,climate_change,0.0
worldwide,Kyrgyzstan,climate_change,0.0
worldwide,Tajikistan,climate_change,0.0
worldwide,Algeria,climate_change,11.0
worldwide,Mayotte,climate_change,0.0
worldwide,Argentina,climate_change,11.0
worldwide,San Marino,climate_change,0.0
worldwide,Austria,climate_change,11.0
worldwide,Belgium,climate_change,11.0
worldwide,Libya,climate_change,0.0
worldwide,Netherlands,climate_change,11.0
worldwide,Western Sahara,climate_change,0.0
worldwide,Kazakhstan,climate_change,11.0
worldwide,Germany,climate_change,11.0
worldwide,Mauritania,climate_change,0.0
worldwide,Latvia,climate_change,0.0
worldwide,Monaco,climate_change,0.0
worldwide,Palestine,climate_change,0.0
worldwide,Brazil,climate_change,10.0
worldwide,New Caledonia,climate_change,0.0
worldwide,Turkmenistan,climate_change,0.0
worldwide,Saudi Arabia,climate_change,10.0
worldwide,Sudan,climate_change,0.0
worldwide,Liechtenstein,climate_change,0.0
worldwide,Greece,climate_change,10.0
worldwide,St Barthélemy,climate_change,0.0
worldwide,French Polynesia,climate_change,0.0
worldwide,Iraq,climate_change,10.0
worldwide,Italy,climate_change,10.0
worldwide,Armenia,climate_change,0.0
worldwide,North Macedonia,climate_change,0.0
worldwide,Slovenia,climate_change,0.0
worldwide,China,climate_change,10.0
worldwide,Montenegro,climate_change,0.0
worldwide,Lithuania,climate_change,0.0
worldwide,Estonia,climate_change,0.0
worldwide,French Guiana,climate_change,0.0
worldwide,Azerbaijan,climate_change,0.0
worldwide,Moldova,climate_change,0.0
worldwide,Åland Islands,climate_change,0.0
worldwide,St Pierre & Miquelon,climate_change,0.0
worldwide,Czechia,climate_change,8.0
worldwide,Hungary,climate_change,7.0
worldwide,Guadeloupe,climate_change,0.0
worldwide,Kosovo,climate_change,0.0
worldwide,Japan,climate_change,7.0
worldwide,Martinique,climate_change,0.0
worldwide,Réunion,climate_change,0.0
worldwide,France,climate_change,6.0
worldwide,Israel,climate_change,6.0
worldwide,Croatia,climate_change,0.0
worldwide,Slovakia,climate_change,0.0
worldwide,Romania,climate_change,6.0
worldwide,Belarus,climate_change,0.0
worldwide,Bosnia & Herzegovina,climate_change,0.0
worldwide,Türkiye,climate_change,6.0
worldwide,Serbia,climate_change,0.0
worldwide,Poland,climate_change,5.0
worldwide,Bulgaria,climate_change,0.0
worldwide,Yemen,climate_change,0.0
worldwide,Syria,climate_change,0.0
worldwide,Iran,climate_change,3.0
worldwide,Russia,climate_change,3.0
worldwide,Ukraine,climate_change,2.0
worldwide,Christmas Island,climate_change,0.0
worldwide,British Indian Ocean Territory,climate_change,0.0
worldwide,Vatican City,climate_change,0.0
worldwide,Cocos (Keeling) Islands,climate_change,0.0
worldwide,South Georgia & South Sandwich Islands,climate_change,0.0
worldwide,Norfolk Island,climate_change,0.0
worldwide,Niue,climate_change,0.0
worldwide,US Outlying Islands,climate_change,0.0
worldwide,Antarctica,climate_change,0.0
worldwide,Wallis & Futuna,climate_change,0.0
worldwide,Bouvet Island,climate_change,0.0
worldwide,Heard & McDonald Islands,climate_change,0.0
worldwide,Pitcairn Islands,climate_change,0.0
worldwide,North Korea,climate_change,0.0
worldwide,Tokelau,climate_change,0.0
worldwide,French Southern Territories,climate_change,0.0
US,Vermont,climate_change,100.0
US,District of Columbia,climate_change,93.0
US,Maine,climate_change,81.0
US,Alaska,climate_change,74.0
US,Hawaii,climate_change,70.0
US,Montana,climate_change,68.0
US,Washington,climate_change,66.0
US,Maryland,climate_change,66.0
US,Iowa,climate_change,64.0
US,Rhode Island,climate_change,64.0
US,Colorado,climate_change,64.0
US,Connecticut,climate_change,63.0
US,New Hampshire,climate_change,63.0
US,California,climate_change,62.0
US,Massachusetts,climate_change,62.0
US,New York,climate_change,60.0
US,North Carolina,climate_change,60.0
US,New Mexico,climate_change,59.0
US,Virginia,climate_change,59.0
US,South Dakota,climate_change,59.0
US,Utah,climate_change,58.0
US,Wisconsin,climate_change,58.0
US,Delaware,climate_change,56.0
US,New Jersey,climate_change,56.0
US,Arizona,climate_change,56.0
US,Oregon,climate_change,56.0
US,Minnesota,climate_change,55.0
US,Wyoming,climate_change,55.0
US,Pennsylvania,climate_change,54.0
US,Idaho,climate_change,54.0
US,Indiana,climate_change,53.0
US,Michigan,climate_change,52.0
US,Illinois,climate_change,50.0
US,Kansas,climate_change,50.0
US,Kentucky,climate_change,49.0
US,North Dakota,climate_change,48.0
US,Arkansas,climate_change,48.0
US,Ohio,climate_change,48.0
