BRMA,2010,2023,2024
Aberdeen and Shire,642.58,719.57,765.72
Argyll and Bute,503.03,723.42,756.4
Ayrshires,464.47,545.66,594.76
Dumfries and Galloway,435.12,486.64,504.61
Dundee and Angus,497.46,745.48,813.24
East Dunbartonshire,581.12,897.45,937.69
Fife,463.99,699.82,741.33
Forth Valley,492.41,747.92,792.52
Greater Glasgow,563.64,1049.61,1024.45
Highland and Islands,503.41,661.91,697.22
Lothian,664.51,1191.64,1358.36
North Lanarkshire,454.65,621.34,672.35
Perth and Kinross,506.44,643.57,667.78
Renfrewshire / Inverclyde,472.96,637.8,697.13
Scottish Borders,441.58,585.5,609.49
South Lanarkshire,480.55,672.31,713.58
West Dunbartonshire,492.17,682.0,725.69
West Lothian,527.37,688.41,772.19
