BRMA,2010,2023,2024
Aberdeen and Shire,943.66,1492.86,1618.6
Argyll and Bute,923.91,1305.38,1632.06
Ayrshires,758.06,1093.95,1246.67
Dumfries and Galloway,620.08,844.36,964.38
Dundee and Angus,811.27,1346.1,1494.7
East Dunbartonshire,1135.19,1885.41,1971.63
Fife,773.31,1476.07,1638.32
Forth Valley,857.08,1563.62,1619.81
Greater Glasgow,1067.19,2191.51,2217.04
Highland and Islands,750.68,1055.47,1174.79
Lothian,1290.68,2446.73,2640.96
North Lanarkshire,776.25,1166.53,1237.63
Perth and Kinross,857.5,1437.62,1494.74
Renfrewshire / Inverclyde,833.68,1423.58,1359.75
Scottish Borders,689.67,1342.88,1393.88
South Lanarkshire,924.21,1419.09,1466.78
West Dunbartonshire,821.05,1088.08,1220.0
West Lothian,834.19,1293.58,1453.82
