BRMA,2010,2023,2024
Aberdeen and Shire,743.67,1019.72,1066.75
Argyll and Bute,637.54,909.18,1026.25
Ayrshires,556.1,686.63,751.97
Dumfries and Galloway,499.63,560.2,603.23
Dundee and Angus,632.52,1021.11,1107.92
East Dunbartonshire,750.02,1230.38,1296.14
Fife,563.02,915.31,1010.45
Forth Valley,642.74,1046.3,1088.53
Greater Glasgow,728.19,1374.08,1354.13
Highland and Islands,594.77,817.39,865.89
Lothian,917.68,1626.01,1906.56
North Lanarkshire,548.52,794.61,823.83
Perth and Kinross,647.27,908.04,908.3
Renfrewshire / Inverclyde,611.61,756.46,844.08
Scottish Borders,514.96,772.03,802.26
South Lanarkshire,626.88,880.09,936.25
West Dunbartonshire,591.06,826.0,894.9
West Lothian,615.97,899.27,994.41
