Property size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1 Bedroom Property,441.898821,450.626023,448.765635,456.9357409999999,479.536756,497.859327,503.2477560000001,514.987022,520.1397400000001,532.476701,542.1842459999999,545.671431,579.941279,647.9565530000001,710.3045039999998
2 Bedroom Property,553.9561150000001,569.978554,572.703277,593.713861,618.840692,635.754464,631.5711839999999,648.9125469999999,659.2157319999999,681.1538409999999,688.8448590000002,693.1740060000001,736.389113,841.3416399999999,893.413794
3 Bedroom Property,673.5881890000002,692.928083,703.6137199999998,717.4099410000001,737.1095669999999,758.85746,776.400489,788.046688,826.9116640000001,826.1309349999999,843.9456990000001,843.7039520000002,905.804287,1026.4881930000001,1136.2207349999996
4 Bedroom Property,938.544424,984.817667,1010.021989,1091.875987,1095.691548,1108.9220840000003,1103.5527009999998,1138.06796,1236.639915,1315.8433730000002,1342.3093550000003,1358.3246680000002,1460.3545640000002,1656.270193,1792.9800119213196
1 Bedroom in Shared Property,305.4297302217243,298.9779499979125,305.9111514390731,318.2311643499129,329.8433339482239,344.21613786375616,356.4089868560695,363.31287119653456,375.6770342622351,390.17451524020845,399.37988470256494,397.7638982554392,425.4999304745791,489.84809343034334,530.4635108857797
